timestamp,filename,seconds,dataRate,simTime,packetSize,numberOfUes,00:00 ? 08:00,08:00 ? 12:00,12:00 ? 17:00,17:00 ? 20:00,20:00 ? 00:00
Tue Aug 22 00:12:00 1995,/cgi-bin/imagemap.cgi,720,509.15,3,465,8,,,,,
Tue Aug 22 00:12:04 1995,/wow/situr/glor-co1.html,724,478.1,3,251,8,,,,,
Tue Aug 22 00:12:07 1995,/wow/situr/plas-26.jpg,727,566.9,2,64,3,,,,,
Tue Aug 22 00:12:12 1995,/wow/situr/plza-coz.jpg,732,517.1,2,117,1,,,,,
Tue Aug 22 00:12:27 1995,/images/logo.gif,747,280.91,1,95,6,,,,,
Tue Aug 22 00:12:36 1995,/images/redbar.gif,756,186.32,4,440,4,,,,,
Tue Aug 22 00:12:43 1995,/images/blackbar.gif,763,4.71,4,406,2,,,,,
Tue Aug 22 00:13:01 1995,/images/explore.gif,781,284.35,3,145,7,,,,,
Tue Aug 22 00:13:17 1995,/SDSC/Partners/vrml/examples.html,797,68.84,4,229,3,,,,,
Tue Aug 22 00:13:56 1995,/vrml,836,73.11,3,316,1,,,,,
Tue Aug 22 00:13:58 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,838,450.42,1,380,1,,,,,
Tue Aug 22 00:13:58 1995,/SDSC/Partners/vrml/Images/cone.gif,838,127.44,4,60,6,,,,,
Tue Aug 22 00:13:58 1995,/SDSC/Partners/vrml/Images/cube.gif,838,70.32,2,151,8,,,,,
Tue Aug 22 00:13:59 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,839,534.53,3,323,5,,,,,
Tue Aug 22 00:14:05 1995,/SDSC/Partners/vrml/examples.html,845,68.84,4,229,7,,,,,
Tue Aug 22 00:14:08 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,848,409.49,1,191,5,,,,,
Tue Aug 22 00:14:34 1995,,874,,,,1,,,,,
Tue Aug 22 00:14:34 1995,,874,,,,3,,,,,
Tue Aug 22 00:14:44 1995,/SDSC/Partners/vrml/repos_software.html,884,387.05,2,440,4,,,,,
Tue Aug 22 00:14:48 1995,/SDSC/Partners/vrml/examples.html,888,68.84,4,229,5,,,,,
Tue Aug 22 00:14:49 1995,/SDSC/Geninfo/Fun/Movies/uc.html,889,347.83,3,341,8,,,,,
Tue Aug 22 00:14:51 1995,/SDSC/Partners/vrml/software/browsers.html,891,364.22,2,182,3,,,,,
Tue Aug 22 00:14:57 1995,/wow/situr/glor-co3.html,897,186.61,2,467,6,,,,,
Tue Aug 22 00:14:57 1995,/SDSC/Geninfo/Fun/Stills/UC.gif,897,403.84,2,491,7,,,,,
Tue Aug 22 00:14:59 1995,/wow/situr/plg-coz5.jpg,899,335.72,1,383,3,,,,,
Tue Aug 22 00:15:01 1995,/wow/situr/tanwave2.gif,901,127.28,4,388,4,,,,,
Tue Aug 22 00:15:03 1995,/SDSC/Partners/vrml/Images/cube.gif,903,70.32,2,151,8,,,,,
Tue Aug 22 00:15:03 1995,/SDSC/Partners/vrml/Images/cone.gif,903,127.44,4,60,1,,,,,
Tue Aug 22 00:15:13 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,913,409.49,1,191,6,,,,,
Tue Aug 22 00:15:37 1995,/surf/surfer_resources.html,937,537.08,3,470,6,,,,,
Tue Aug 22 00:15:38 1995,/vrml,938,73.11,3,316,4,,,,,
Tue Aug 22 00:15:40 1995,/surf/Images/img0079.gif,940,320.2,3,495,4,,,,,
Tue Aug 22 00:15:40 1995,/surf/Images/img0012.gif,940,245.04,1,69,5,,,,,
Tue Aug 22 00:15:40 1995,/SDSC/Partners/vrml/Images/cube.gif,940,70.32,2,151,8,,,,,
Tue Aug 22 00:15:40 1995,/SDSC/Partners/vrml/Images/cone.gif,940,127.44,4,60,1,,,,,
Tue Aug 22 00:15:43 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,943,534.53,3,323,5,,,,,
Tue Aug 22 00:15:46 1995,/SDSC/Partners/vrml/examples.html,946,68.84,4,229,4,,,,,
Tue Aug 22 00:15:48 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,948,409.49,1,191,6,,,,,
Tue Aug 22 00:16:00 1995,/vrml,960,73.11,3,316,4,,,,,
Tue Aug 22 00:16:07 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,967,534.53,3,323,5,,,,,
Tue Aug 22 00:16:07 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,967,450.42,1,380,6,,,,,
Tue Aug 22 00:16:27 1995,/SDSC/Partners/vrml/doc.html,987,521.4,3,304,8,,,,,
Tue Aug 22 00:16:51 1995,/surf/surfmail.html,1011,524.99,3,372,3,,,,,
Tue Aug 22 00:16:58 1995,/SDSC/Partners/vrml/doc.html,1018,521.4,3,304,5,,,,,
Tue Aug 22 00:17:07 1995,/wow/situr/glor-co2.html,1027,464.13,4,401,1,,,,,
Tue Aug 22 00:17:10 1995,/wow/situr/plg-coz4.jpg,1030,244.51,4,149,1,,,,,
Tue Aug 22 00:17:13 1995,/wow/situr/plas-9.jpg,1033,509.26,4,193,4,,,,,
Tue Aug 22 00:17:41 1995,/surf/copyright.xbm,1061,202.57,3,308,2,,,,,
Tue Aug 22 00:17:44 1995,/SDSC/Research/Visualization/Tecate/tecate.html,1064,165.62,4,408,3,,,,,
Tue Aug 22 00:18:45 1995,/vrml,1125,73.11,3,316,6,,,,,
Tue Aug 22 00:18:47 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,1127,450.42,1,380,4,,,,,
Tue Aug 22 00:18:53 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,1133,534.53,3,323,8,,,,,
Tue Aug 22 00:19:05 1995,/SDSC/Partners/vrml/Images/cone.gif,1145,127.44,4,60,3,,,,,
Tue Aug 22 00:19:10 1995,/SDSC/Partners/vrml/repos_software.html,1150,387.05,2,440,2,,,,,
Tue Aug 22 00:19:16 1995,/,1156,233.89,4,430,1,,,,,
Tue Aug 22 00:19:22 1995,/SDSC/Partners/vrml/Images/cube.gif,1162,70.32,2,151,5,,,,,
Tue Aug 22 00:19:23 1995,/SDSC/Partners/vrml/Images/cone.gif,1163,127.44,4,60,4,,,,,
Tue Aug 22 00:19:29 1995,/SDSC/Partners/vrml/Images/cube.gif,1169,70.32,2,151,3,,,,,
Tue Aug 22 00:19:31 1995,/wow/situr/plg-pk.html,1171,292.2,3,471,6,,,,,
Tue Aug 22 00:19:34 1995,/wow/situr/bluetile.gif,1174,430.82,3,366,8,,,,,
Tue Aug 22 00:19:38 1995,/wow/situr/plza_bar.jpg,1178,476.63,2,88,6,,,,,
Tue Aug 22 00:19:41 1995,/wow/situr/cpza-fsh.jpg,1181,336.87,2,457,3,,,,,
Tue Aug 22 00:19:45 1995,/SDSC/Partners/vrml/examples.html,1185,68.84,4,229,5,,,,,
Tue Aug 22 00:19:49 1995,/wow/situr/plas-gol.jpg,1189,149.13,2,63,2,,,,,
Tue Aug 22 00:19:51 1995,/SDSC/Geninfo/Internet/volcanology,1191,222.1,2,386,4,,,,,
Tue Aug 22 00:19:54 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,1194,409.49,1,191,7,,,,,
Tue Aug 22 00:20:02 1995,/wow/situr/hnymoon.jpg,1202,417.59,3,173,1,,,,,
Tue Aug 22 00:20:16 1995,/Events/vrml95,1216,359.33,1,406,2,,,,,
Tue Aug 22 00:20:26 1995,/Events/vrml95/red_dot.gif,1226,207.26,1,499,3,,,,,
Tue Aug 22 00:20:30 1995,/wow/situr/glor-co1.html,1230,478.1,3,251,6,,,,,
Tue Aug 22 00:20:33 1995,/wow/situr/plza-coz.jpg,1233,517.1,2,117,8,,,,,
Tue Aug 22 00:20:37 1995,/SDSC/Partners/vrml/Images/cone.gif,1237,127.44,4,60,3,,,,,
Tue Aug 22 00:20:39 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,1239,534.53,3,323,8,,,,,
Tue Aug 22 00:20:39 1995,/SDSC/Partners/vrml/Images/cube.gif,1239,70.32,2,151,8,,,,,
Tue Aug 22 00:20:45 1995,/vrml,1245,73.11,3,316,8,,,,,
Tue Aug 22 00:20:53 1995,/wow/situr/plg-pk.html,1253,292.2,3,471,4,,,,,
Tue Aug 22 00:20:55 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,1255,450.42,1,380,6,,,,,
Tue Aug 22 00:20:56 1995,/SDSC/Partners/vrml/Images/cone.gif,1256,127.44,4,60,6,,,,,
Tue Aug 22 00:20:57 1995,/wow/situr/plas-tni.jpg,1257,191.95,4,201,8,,,,,
Tue Aug 22 00:20:59 1995,/SDSC/Partners/vrml/Images/cube.gif,1259,70.32,2,151,7,,,,,
Tue Aug 22 00:21:02 1995,/wow/situr/bluetile.gif,1262,430.82,3,366,4,,,,,
Tue Aug 22 00:21:04 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,1264,534.53,3,323,1,,,,,
Tue Aug 22 00:21:06 1995,/wow/situr/hnymoon.jpg,1266,417.59,3,173,1,,,,,
Tue Aug 22 00:21:10 1995,/wow/situr/plza_bar.jpg,1270,476.63,2,88,6,,,,,
Tue Aug 22 00:21:29 1995,/SDSC/Partners/vrml/examples.html,1289,68.84,4,229,6,,,,,
Tue Aug 22 00:21:37 1995,/SDSC/Partners/vrml/repos_software.html,1297,387.05,2,440,7,,,,,
Tue Aug 22 00:21:37 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,1297,409.49,1,191,1,,,,,
Tue Aug 22 00:21:40 1995,/SDSC/Partners/vrml/Images/cone.gif,1300,127.44,4,60,6,,,,,
Tue Aug 22 00:21:42 1995,/SDSC/Partners/vrml/Images/cube.gif,1302,70.32,2,151,3,,,,,
Tue Aug 22 00:21:48 1995,/SDSC/Partners/vrml/software/browsers.html,1308,364.22,2,182,8,,,,,
Tue Aug 22 00:21:50 1995,/EnablingTech/Visualization/vrml/webview.html,1310,445.63,2,457,4,,,,,
Tue Aug 22 00:21:52 1995,/SDSC/Partners/vrml/Images/cone.gif,1312,127.44,4,60,6,,,,,
Tue Aug 22 00:21:54 1995,/EnablingTech/Visualization/vrml/tools/webview/help/webview.gif,1314,400.6,2,314,3,,,,,
Tue Aug 22 00:21:55 1995,/SDSC/Partners/vrml/Images/cube.gif,1315,70.32,2,151,8,,,,,
Tue Aug 22 00:21:58 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,1318,409.49,1,191,5,,,,,
Tue Aug 22 00:22:12 1995,/vrml,1332,73.11,3,316,5,,,,,
Tue Aug 22 00:22:12 1995,/surfrider.html,1332,61.8,4,75,2,,,,,
Tue Aug 22 00:22:13 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,1333,450.42,1,380,2,,,,,
Tue Aug 22 00:22:13 1995,/SDSC/Partners/Surfrider/hdsurf.gif,1333,464.69,1,288,3,,,,,
Tue Aug 22 00:22:14 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,1334,534.53,3,323,8,,,,,
Tue Aug 22 00:22:16 1995,/SDSC/Partners/vrml/Images/cone.gif,1336,127.44,4,60,4,,,,,
Tue Aug 22 00:22:16 1995,/SDSC/Partners/vrml/software/browsers.html,1336,364.22,2,182,8,,,,,
Tue Aug 22 00:22:19 1995,/SDSC/Partners/Surfrider/air1.gif,1339,336.3,2,334,1,,,,,
Tue Aug 22 00:22:22 1995,/SDSC/Partners/vrml/Images/cube.gif,1342,70.32,2,151,3,,,,,
Tue Aug 22 00:22:24 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,1344,409.49,1,191,1,,,,,
Tue Aug 22 00:22:25 1995,,1345,,,,1,,,,,
Tue Aug 22 00:22:25 1995,,1345,,,,2,,,,,
Tue Aug 22 00:22:25 1995,,1345,,,,5,,,,,
Tue Aug 22 00:22:26 1995,/wow/situr/glor-co2.html,1346,464.13,4,401,7,,,,,
Tue Aug 22 00:22:29 1995,/wow/situr/plza-coz.jpg,1349,517.1,2,117,6,,,,,
Tue Aug 22 00:22:32 1995,,1352,,,,7,,,,,
Tue Aug 22 00:22:32 1995,,1352,,,,5,,,,,
Tue Aug 22 00:22:39 1995,/vrml,1359,73.11,3,316,5,,,,,
Tue Aug 22 00:22:39 1995,,1359,,,,7,,,,,
Tue Aug 22 00:22:39 1995,,1359,,,,7,,,,,
Tue Aug 22 00:22:39 1995,,1359,,,,6,,,,,
Tue Aug 22 00:22:41 1995,/SDSC/Partners/vrml/repos_software.html,1361,387.05,2,440,8,,,,,
Tue Aug 22 00:22:50 1995,/SDSC/Partners/vrml/software/browsers.html,1370,364.22,2,182,8,,,,,
Tue Aug 22 00:22:51 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,1371,409.49,1,191,7,,,,,
Tue Aug 22 00:22:54 1995,/SDSC/Partners/vrml/Images/vrml.banner.gif,1374,450.42,1,380,6,,,,,
Tue Aug 22 00:23:09 1995,/SDSC/Partners/vrml/Images/cone.gif,1389,127.44,4,60,5,,,,,
Tue Aug 22 00:23:12 1995,/SDSC/Partners/vrml/Images/cube.gif,1392,70.32,2,151,7,,,,,
Tue Aug 22 00:23:13 1995,/SDSC/Partners/vrml/Images/SDSClogo.gif,1393,534.53,3,323,1,,,,,
Tue Aug 22 00:23:21 1995,/wow/situr/glor-co3.html,1401,186.61,2,467,3,,,,,
Tue Aug 22 00:23:24 1995,/wow/situr/plg-coz5.jpg,1404,335.72,1,383,4,,,,,
Tue Aug 22 00:23:46 1995,/SDSC/Partners/vrml/repos_software.html,1426,387.05,2,440,7,,,,,
Tue Aug 22 00:23:46 1995,/SDSC/Staff/wilkinsn/hashing.internet.html,1426,276.05,1,64,4,,,,,
Tue Aug 22 00:23:48 1995,/SDSC/Staff/wilkinsn/images/icon.new.gif,1428,280.73,2,61,2,,,,,
Tue Aug 22 00:24:00 1995,/wow/mexico/resort/situr.html,1440,394.25,3,284,5,,,,,
Tue Aug 22 00:24:02 1995,/wow/mexico/resort/sit-pres.jpg,1442,557.03,1,114,8,,,,,
Tue Aug 22 00:24:06 1995,/wow/mexico/resort/grupd.gif,1446,330.94,2,213,5,,,,,
Tue Aug 22 00:24:12 1995,/SDSC/Partners/vrml/software/util.html,1452,529.4,1,97,5,,,,,
Tue Aug 22 00:24:13 1995,/ucsd.html,1453,246.99,4,264,5,,,,,
Tue Aug 22 00:24:16 1995,/images/redbar.gif,1456,186.32,4,440,7,,,,,
Tue Aug 22 00:24:16 1995,/images/logo.gif,1456,280.91,1,95,8,,,,,
Tue Aug 22 00:24:16 1995,/images/blackbar.gif,1456,4.71,4,406,2,,,,,
Tue Aug 22 00:24:37 1995,/SDSC/Partners/vrml/repos_software.html,1477,387.05,2,440,6,,,,,
Tue Aug 22 00:24:42 1995,/SDSC/Partners/vrml/Images/cube.gif,1482,70.32,2,151,6,,,,,
Tue Aug 22 00:24:42 1995,/SDSC/Partners/vrml/Images/cone.gif,1482,127.44,4,60,3,,,,,
Tue Aug 22 00:24:55 1995,/SDSC/Partners/vrml/software/browsers.html,1495,364.22,2,182,2,,,,,
Tue Aug 22 00:24:59 1995,/SDSC/Partners/vrml/Images/sphere_green.gif,1499,409.49,1,191,8,,,,,
